Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"executeJavaScript(""arguments[0].click();"", Arrays.asList(findWebElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/menu_practiceForm""))))",Chrome 144.0.0.0,,,20-02-2026 14:45:46,20-02-2026 14:45:46,"0,331s",PASSED
waitForPageLoad(5),Chrome 144.0.0.0,,,20-02-2026 14:45:46,20-02-2026 14:45:46,"0,055s",PASSED
"scrollToElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/label_Male_custom-control-label""), 1)",Chrome 144.0.0.0,,,20-02-2026 14:45:46,20-02-2026 14:45:47,"0,095s",PASSED
if (FirstName),Chrome 144.0.0.0,,,20-02-2026 14:45:47,20-02-2026 14:45:47,"0,004s",PASSED
if (LastName),Chrome 144.0.0.0,,,20-02-2026 14:45:47,20-02-2026 14:45:47,"0,432s",PASSED
if (StudentEmail),Chrome 144.0.0.0,,,20-02-2026 14:45:47,20-02-2026 14:45:47,"0,326s",PASSED
"if (!(Scenario.startsWith(""TC005"")))",Chrome 144.0.0.0,,,20-02-2026 14:45:47,20-02-2026 14:45:47,"0,029s",PASSED
if (MobileNumber),Chrome 144.0.0.0,,,20-02-2026 14:45:47,20-02-2026 14:45:48,"0,479s",PASSED
"if (Scenario.startsWith(""TC009""))",Chrome 144.0.0.0,,,20-02-2026 14:45:48,20-02-2026 14:45:48,"0,001s",PASSED
"dobParts = DateOfBirth.split(""-"")",Chrome 144.0.0.0,,,20-02-2026 14:45:48,20-02-2026 14:45:48,"0,000s",PASSED
dobYear = dobParts[0],Chrome 144.0.0.0,,,20-02-2026 14:45:48,20-02-2026 14:45:48,"0,000s",PASSED
dobMonth = String.valueOf(Integer.parseInt(dobParts[1]) - 1),Chrome 144.0.0.0,,,20-02-2026 14:45:48,20-02-2026 14:45:48,"0,001s",PASSED
dobDay = String.valueOf(Integer.parseInt(dobParts[2])),Chrome 144.0.0.0,,,20-02-2026 14:45:48,20-02-2026 14:45:48,"0,001s",PASSED
"executeJavaScript(""document.getElementById('dateOfBirthInput').click();"", null)",Chrome 144.0.0.0,,,20-02-2026 14:45:48,20-02-2026 14:45:48,"0,065s",PASSED
"executeJavaScript(""document.querySelector('.react-datepicker__year-select').value='"" + dobYear + ""'; document.querySelector('.react-datepicker__year-select').dispatchEvent(new Event('change',{bubbles:true}));"", null)",Chrome 144.0.0.0,,,20-02-2026 14:45:48,20-02-2026 14:45:48,"0,132s",PASSED
"executeJavaScript(""document.querySelector('.react-datepicker__month-select').value='"" + dobMonth + ""'; document.querySelector('.react-datepicker__month-select').dispatchEvent(new Event('change',{bubbles:true}));"", null)",Chrome 144.0.0.0,,,20-02-2026 14:45:48,20-02-2026 14:45:48,"0,104s",PASSED
"executeJavaScript(""var days=document.querySelectorAll('.react-datepicker__day:not(.react-datepicker__day--outside-month)'); for(var d of days){if(d.textContent.trim()==='"" + dobDay + ""'){d.click();break;}}"", null)",Chrome 144.0.0.0,,,20-02-2026 14:45:48,20-02-2026 14:45:48,"0,044s",PASSED
